title,description,points,devs,analysts,devops,designers,testers,repeatable
Умные протоколы встреч,ключевая,4,4,2,0,0,0,false
Георезервирование,,1,2,1,1,0,0,false
Интеграция с центром уведомлений,,3,2,0,0,1,1,false
Синхронизация сообщений,,2,2,1,0,1,1,false
Управление разработкой,ключевая,4,4,2,0,0,0,false
Нативный конструктор,,1,2,1,1,0,0,false
Визуализация метрик,,3,2,0,0,1,1,false
DevOps-сервис самообслуживания,,2,2,1,0,1,1,false
Модули для создания офферов,ключевая,4,4,2,0,0,0,false
Бесшовный переход,,1,2,1,1,0,0,false
Интеграция с системами,,3,2,0,0,1,1,false
Единая обработка данных,,2,2,1,0,1,1,false
Интеграция с SIEM/SOAR,ключевая,4,4,2,0,0,0,false
Администрирование,,1,2,1,1,0,0,false
Инвентаризация инфрастуктуры,,3,2,0,0,1,1,false
Карта компонентов,,2,2,1,0,1,1,false
Интеграция с работными сайтами,ключевая,4,4,2,0,0,0,false
ИИ-отбор,,1,2,1,1,0,0,false
Автозаполнение полей,,3,2,0,0,1,1,false
Поиск и объединение дублей,,2,2,1,0,1,1,false
Кастомизация модуля,ключевая,4,4,2,0,0,0,false
Экранные формы,,1,2,1,1,0,0,false
Gерсональные данные,,3,2,0,0,1,1,false
Ролевые модели,,2,2,1,0,1,1,false
Экстренный фикс для корпоративного портала,,6,4,2,1,0,2,false
Нагрузочное тестирование сервера,,6,6,0,1,0,2,false
Оптимизация SQL запросов,,6,6,1,0,0,2,false
Решение на базе Т-Rex,,4,3,1,1,0,1,false
Контейнеризация приложения,,4,5,0,1,0,1,false
Разработка CLI-утилиты,,4,2,2,1,0,1,false
Интеграция с CRM,,5,4,1,0,0,1,false
Аудит безопасности,,5,4,2,1,0,2,false
Раскатка вендорского ПО в контуре,,5,1,1,2,0,1,false
CI/ CD пайплайн,,5,2,1,2,0,0,false
Анализ пользовательского поведения,,5,2,4,1,0,0,false
Шифрование данных,,5,4,2,0,0,0,false
Кроссплатформенный билд,,5,2,0,2,0,0,false
Микросервис аудит,,3,2,0,1,0,1,false
Мобильно приложение,,3,2,1,1,1,0,false
Миграция базы данных,,3,2,2,1,0,0,false
Дашборд аналитики,,3,1,1,0,1,1,false
Автоматизация сценариев тестирования токенов,,3,1,0,1,0,3,false
Разработка WebSocket-сервиса,,3,2,1,0,0,1,false
A/B-тестирование интерфейса,,3,1,0,1,0,3,false
Аудит работы с ПД,,3,2,1,0,1,0,false
Федеративное обучение модели,,3,2,3,0,0,0,false
Лендинг для продукта,,2,1,0,0,1,1,false
Оптимизация фронтенда,,2,1,1,0,1,0,false
Разработка чат-бота,,2,2,0,1,0,1,false
API для мобильного приложения,,2,2,0,0,1,1,false
Детекция аномалий,,2,1,1,0,0,0,false
Сертификация ФСТЭК,,2,1,0,0,1,1,false
Open-Source Контрибьюшн,,2,1,0,1,0,1,false
AI-агент,,2,2,0,0,1,1,false
Дорога в облака,,2,2,1,1,0,0,false
Анализ логов приложения,,2,2,0,1,0,1,false
Рефакторинг легаси,,2,2,1,0,0,2,false
Мониторинг инфраструктуры,,2,1,1,1,0,0,false
Полная победа,,20,0,0,0,0,0,false
Частичная победа,,15,0,0,0,0,0,true
Плюс балл,,1,0,0,0,0,0,true
Минус балл,,-1,0,0,0,0,0,true
